类别,precision,recall,f1-score,support,accuracy
鹈鹕,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,0.8333333333333334
鹦鹉,1.0,0.8333333333333334,0.9090909090909091,12.0,0.8333333333333334
鹬,1.0,1.0,1.0,12.0,1.0
鹰,0.9230769230769231,1.0,0.9600000000000001,12.0,1.0
鹿,0.75,0.75,0.75,12.0,0.75
麻雀,1.0,1.0,1.0,12.0,1.0
黑猩猩,1.0,1.0,1.0,12.0,1.0
鼠,0.6111111111111112,0.9166666666666666,0.7333333333333334,12.0,0.9166666666666666
龙虾,0.8571428571428571,1.0,0.923076923076923,12.0,1.0
macro avg,0.9037881126364273,0.895131086142322,0.8947139260558128,1068.0,0.895131086142322
weighted avg,0.9037881126364272,0.8951310861423221,0.8947139260558128,1068.0,0.8951310861423226
