batch,epoch,train_accuracy,train_loss
219.0,2.0,0.71875,1.4565974
220.0,2.0,0.65625,1.4825883
221.0,2.0,0.65625,1.6232513
222.0,2.0,0.71875,1.4744663
223.0,2.0,0.78125,1.2592516
224.0,2.0,0.71875,1.586701
225.0,2.0,0.6875,1.3945869
226.0,2.0,0.59375,1.7240839
227.0,2.0,0.59375,1.5110308
228.0,2.0,0.65625,1.379681
229.0,2.0,0.6875,1.4419326
230.0,2.0,0.71875,1.370291
231.0,2.0,0.625,1.4761147
232.0,2.0,0.625,1.6199507
233.0,2.0,0.71875,1.2449975
234.0,2.0,0.875,1.411713
235.0,2.0,0.8125,1.3412033
236.0,2.0,0.6875,1.3288337
237.0,2.0,0.78125,1.4113584
238.0,2.0,0.625,1.4658917
239.0,2.0,0.6875,1.5242176
240.0,2.0,0.65625,1.4667697
241.0,2.0,0.59375,1.6055491
242.0,2.0,0.625,1.6638302
243.0,2.0,0.75,1.3669562
244.0,2.0,0.78125,1.3467202
245.0,2.0,0.75,1.24437
246.0,2.0,0.78125,1.2065083
247.0,2.0,0.71875,1.5037963
248.0,2.0,0.65625,1.3665202
249.0,2.0,0.75,1.4027277
250.0,2.0,0.75,1.4555072
251.0,2.0,0.5625,1.722364
252.0,2.0,0.8125,1.139339
253.0,2.0,0.5625,1.7646942
254.0,2.0,0.6875,1.4709295
255.0,2.0,0.75,1.2064817
256.0,2.0,0.6875,1.457926
257.0,2.0,0.71875,1.3633682
258.0,2.0,0.71875,1.5727595
259.0,2.0,0.84375,1.2068509
260.0,2.0,0.78125,1.3184724
261.0,2.0,0.78125,1.0424017
262.0,2.0,0.59375,1.4626037
263.0,2.0,0.65625,1.3790983
264.0,2.0,0.71875,1.2648075
265.0,2.0,0.78125,1.0947019
266.0,2.0,0.75,0.9463471
267.0,2.0,0.78125,1.0510952
268.0,2.0,0.78125,1.3423984
269.0,2.0,0.90625,0.8290078
270.0,2.0,0.625,1.762946
271.0,2.0,0.6875,1.4095865
272.0,2.0,0.75,1.3224448
273.0,3.0,0.8125,1.114856
274.0,3.0,0.78125,1.0810602
275.0,3.0,0.6875,1.3224066
276.0,3.0,0.8125,1.1111777
277.0,3.0,0.71875,1.490857
278.0,3.0,0.875,0.8759086
279.0,3.0,0.71875,1.3205624
280.0,3.0,0.6875,1.1984882
281.0,3.0,0.71875,1.1996851
282.0,3.0,0.84375,1.0294462
283.0,3.0,0.84375,1.1384565
284.0,3.0,0.71875,1.3312287
285.0,3.0,0.6875,1.4406791
286.0,3.0,0.8125,1.1707914
287.0,3.0,0.71875,1.2580729
288.0,3.0,0.6875,1.2631294
289.0,3.0,0.71875,1.4559721
290.0,3.0,0.65625,1.1766725
291.0,3.0,0.71875,1.2837884
292.0,3.0,0.6875,1.4868025
293.0,3.0,0.875,1.1390215
294.0,3.0,0.78125,1.3472283
295.0,3.0,0.71875,1.1426615
296.0,3.0,0.84375,1.0104584
297.0,3.0,0.6875,1.4957103
298.0,3.0,0.84375,0.9717721
299.0,3.0,0.84375,0.92136335
300.0,3.0,0.6875,1.2700964
301.0,3.0,0.8125,1.1111554
302.0,3.0,0.625,1.6337475
303.0,3.0,0.8125,1.2823101
304.0,3.0,0.75,1.0443236
305.0,3.0,0.8125,1.0941278
306.0,3.0,0.78125,1.1726207
307.0,3.0,0.6875,1.397615
308.0,3.0,0.875,0.7284112
309.0,3.0,0.78125,1.1250765
310.0,3.0,0.625,1.7612644
311.0,3.0,0.78125,1.4524128
312.0,3.0,0.71875,1.1551863
313.0,3.0,0.84375,1.0152695
314.0,3.0,0.71875,1.2735964
315.0,3.0,0.75,1.2793386
316.0,3.0,0.84375,0.99622405
317.0,3.0,0.75,1.063397
318.0,3.0,0.75,1.2687192
319.0,3.0,0.875,0.86031175
320.0,3.0,0.6875,1.2339922
321.0,3.0,0.71875,0.99453616
322.0,3.0,0.78125,1.0365121
323.0,3.0,0.71875,1.3215922
324.0,3.0,0.71875,1.248655
325.0,3.0,0.71875,1.2912545
326.0,3.0,0.71875,1.0656132
327.0,3.0,0.59375,1.7594286
328.0,3.0,0.75,1.0701128
329.0,3.0,0.8125,0.8776892
330.0,3.0,0.8125,0.9864119
331.0,3.0,0.84375,0.96303105
332.0,3.0,0.6875,1.1723552
333.0,3.0,0.625,1.5005355
334.0,3.0,0.6875,1.2895386
335.0,3.0,0.65625,1.4310757
336.0,3.0,0.625,1.2724006
337.0,3.0,0.6875,1.3216811
338.0,3.0,0.6875,1.6575729
339.0,3.0,0.6875,1.3330414
340.0,3.0,0.71875,1.228941
341.0,3.0,0.65625,1.0742706
342.0,3.0,0.8125,1.0415851
343.0,3.0,0.75,1.2675956
344.0,3.0,0.59375,1.3584481
345.0,3.0,0.71875,1.2354242
346.0,3.0,0.78125,1.0947676
347.0,3.0,0.84375,1.0512834
348.0,3.0,0.75,1.0533973
349.0,3.0,0.75,1.3909153
350.0,3.0,0.84375,0.91080654
351.0,3.0,0.6875,1.1832185
352.0,3.0,0.65625,1.2337731
353.0,3.0,0.8125,0.88329583
354.0,3.0,0.8125,0.8906552
355.0,3.0,0.6875,1.1405182
356.0,3.0,0.8125,0.92667055
357.0,3.0,0.6875,1.2841587
